"Variable","Time","Value","Flags"
"Females 0-14","1993",928761,
"Females 15-64","1993",3952279,
"Males 0-14","1993",978262,
"Males 15-64","1993",4139022,
"Total 65 and over","1994",1799890,
"Total population","1994",11863353,
"Females 65 and over","1994",1156145,
"Females Total","1994",6076017,
"Males 65 and over","1994",643745,
"Males Total","1994",5787336,
"Average population","1994",11892648.5,
"Total 0-14","1994",1943865,
"Total 15-64","1994",8119598,
"Females 0-14","1994",946646,
"Females 15-64","1994",3973226,
"Males 0-14","1994",997219,
"Males 15-64","1994",4146372,
"Total 65 and over","1995",1826215,
"Total population","1995",11921944,
"Females 65 and over","1995",1164358,
"Females Total","1995",6105979,
"Males 65 and over","1995",661857,
"Males Total","1995",5815965,
"Average population","1995",11957714,
"Total 0-14","1995",1965412,
"Total 15-64","1995",8130317,
"Females 0-14","1995",957202,
"Females 15-64","1995",3984419,
"Males 0-14","1995",1008210,
"Males 15-64","1995",4145898,
"Total 65 and over","1996",1854239,
"Total population","1996",11993484,
"Females 65 and over","1996",1173538,
"Females Total","1996",6141450,
"Males 65 and over","1996",680701,
"Males Total","1996",5852034,
"Average population","1996",12018676.5,
"Total 0-14","1996",1979736,
"Total 15-64","1996",8159509,
"Females 0-14","1996",964114,
"Females 15-64","1996",4003798,
"Males 0-14","1996",1015622,
"Males 15-64","1996",4155711,
"Total 65 and over","1997",1872884,
"Total population","1997",12043869,
"Females 65 and over","1997",1177481,
"Females Total","1997",6167125,
"Males 65 and over","1997",695403,
"Males Total","1997",5876744,
"Average population","1997",12055122,
"Total 0-14","1997",1991090,
"Total 15-64","1997",8179895,
"Females 0-14","1997",969340,
"Females 15-64","1997",4020304,
"Males 0-14","1997",1021750,
"Males 15-64","1997",4159591,
"Total 65 and over","1998",1890028,
"Total population","1998",12066375,
"Females 65 and over","1998",1180761,
"Females Total","1998",6181960,
"Males 65 and over","1998",709267,
"Males Total","1998",5884415,
"Average population","1998",12076461.5,
"Total 0-14","1998",1995981,
"Total 15-64","1998",8180366,
"Females 0-14","1998",971449,
"Females 15-64","1998",4029750,
"Males 0-14","1998",1024532,
"Males 15-64","1998",4150616,
"Total 65 and over","1999",1904818,
"Total population","1999",12086548,
"Females 65 and over","1999",1182509,
"Females Total","1999",6190294,
"Males 65 and over","1999",722309,
"Males Total","1999",5896254,
"Average population","1999",12120757.5,
"Total 0-14","1999",1992692,
"Total 15-64","1999",8189038,
"Females 0-14","1999",969736,
"Females 15-64","1999",4038049,
"Males 0-14","1999",1022956,
"Males 15-64","1999",4150989,
"Total 65 and over","2000",1940981,
"Total population","2000",12154967,
"Females 65 and over","2000",1195545,
"Females Total","2000",6222039,
"Males 65 and over","2000",745436,
"Males Total","2000",5932928,
"Average population","2000",12187600,
"Total 0-14","2000",1998794,
"Total 15-64","2000",8215192,
"Females 0-14","2000",972024,
"Females 15-64","2000",4054470,
"Males 0-14","2000",1026770,
"Males 15-64","2000",4160722,
"Total 65 and over","2001",1984577,
"Total population","2001",12230255,
"Females 65 and over","2001",1212276,
"Females Total","2001",6255972,
"Males 65 and over","2001",772301,
"Males Total","2001",5974283,
"Average population","2001",12280400,
"Total 0-14","2001",1999283,
"Total 15-64","2001",8246395,
"Females 0-14","2001",972387,
"Females 15-64","2001",4071309,
"Males 0-14","2001",1026896,
"Males 15-64","2001",4175086,
"Total 65 and over","2002",2034623,
"Total population","2002",12329714,
"Females 65 and over","2002",1232411,
"Females Total","2002",6299952,
"Males 65 and over","2002",802212,
"Males Total","2002",6029762,
"Average population","2002",12358100,
"Total 0-14","2002",1993769,
"Total 15-64","2002",8301322,
"Females 0-14","2002",969681,
"Females 15-64","2002",4097860,
"Males 0-14","2002",1024088,
"Males 15-64","2002",4203462,
"Total 65 and over","2003",2085934,
"Total population","2003",12387351,
"Females 65 and over","2003",1252608,
"Females Total","2003",6326663,
"Males 65 and over","2003",833326,
"Males Total","2003",6060688,
"Average population","2003",12405400,
"Total 0-14","2003",1980070,
"Total 15-64","2003",8321347,
"Females 0-14","2003",963640,
"Females 15-64","2003",4110415,
"Males 0-14","2003",1016430,
"Males 15-64","2003",4210932,
"Total 65 and over","2004",2146284,
"Total population","2004",12423386,
"Females 65 and over","2004",1277519,
"Females Total","2004",6344377,
"Males 65 and over","2004",868765,
"Males Total","2004",6079009,
"Average population","2004",12433600,
"Total 0-14","2004",1953230,
"Total 15-64","2004",8323872,
"Females 0-14","2004",950928,
"Females 15-64","2004",4115930,
"Males 0-14","2004",1002302,
"Males 15-64","2004",4207942,
"Total 65 and over","2005",2223360,
"Total population","2005",12443893,
"Females 65 and over","2005",1311839,
"Females Total","2005",6355088,
"Males 65 and over","2005",911521,
"Males Total","2005",6088805,
"Average population","2005",12456300,
"Total 0-14","2005",1924753,
"Total 15-64","2005",8295780,
"Females 0-14","2005",937039,
"Females 15-64","2005",4106210,
"Males 0-14","2005",987714,
"Males 15-64","2005",4189570,
"Total 65 and over","2006",2299017,
"Total population","2006",12468726,
"Females 65 and over","2006",1345037,
"Females Total","2006",6366071,
"Males 65 and over","2006",953980,
"Males Total","2006",6102655,
"Average population","2006",12480700,
"Total 0-14","2006",1886663,
"Total 15-64","2006",8283046,
"Females 0-14","2006",918382,
"Females 15-64","2006",4102652,
"Males 0-14","2006",968281,
"Males 15-64","2006",4180394,
"Total 65 and over","2007",2361403,
"Total population","2007",12492658,
"Females 65 and over","2007",1371391,
"Females Total","2007",6373681,
"Males 65 and over","2007",990012,
"Males Total","2007",6118977,
"Average population","2007",12470400,
"Total 0-14","2007",1849296,
"Total 15-64","2007",8281959,
"Females 0-14","2007",900411,
"Females 15-64","2007",4101879,
"Males 0-14","2007",948885,
"Males 15-64","2007",4180080,
"Total 65 and over","2008",2394468,
"Total population","2008",12520332,
"Females 65 and over","2008",1382860,
"Females Total","2008",6383935,
"Males 65 and over","2008",1011608,
"Males Total","2008",6136397,
"Average population","2008",12520332,
"Total 0-14","2008",1818305,
"Total 15-64","2008",8307559,
"Females 0-14","2008",885299,
"Females 15-64","2008",4115776,
"Males 0-14","2008",933006,
"Males 15-64","2008",4191783,
"Total 65 and over","2009",2424872,
"Total population","2009",12519728,
"Females 65 and over","2009",1392614,
"Females Total","2009",6381627,
"Males 65 and over","2009",1032258,
"Males Total","2009",6138101,
"Total 0-14","2009",1787353,
"Total 15-64","2009",8307503,
"Females 0-14","2009",870293,
"Females 15-64","2009",4118720,
"Males 0-14","2009",917060,
"Males 15-64","2009",4188783,
"Total 65 and over","1990",439526,
"Total population","1990",3400426,
"Females 65 and over","1990",310676,
"Females Total","1990",1786824,
"Males 65 and over","1990",128850,
"Males Total","1990",1613602,
"Average population","1990",3417059.5,
"Total 0-14","1990",536919,
"Total 15-64","1990",2379801,
"Females 0-14","1990",261512,
"Females 15-64","1990",1180215,
"Males 0-14","1990",275407,
"Males 15-64","1990",1199586,
"Total 65 and over","1991",487377,
"Total population","1991",3433693,
"Females 65 and over","1991",348260,
"Females Total","1991",1803126,
"Males 65 and over","1991",139117,
"Males Total","1991",1630567,
"Average population","1991",3439859.5,
"Total 0-14","1991",546133,
"Total 15-64","1991",2400183,
"Females 0-14","1991",265958,
"Females 15-64","1991",1188908,
"Males 0-14","1991",280175,
"Males 15-64","1991",1211275,
"Total 65 and over","1992",482346,
"Total population","1992",3446026,
"Females 65 and over","1992",343340,
"Females Total","1992",1805781,
"Males 65 and over","1992",139006,
"Males Total","1992",1640245,
"Average population","1992",3455888.5,
"Total 0-14","1992",546218,
"Total 15-64","1992",2417462,
"Females 0-14","1992",265869,
"Females 15-64","1992",1196572,
"Males 0-14","1992",280349,
"Males 15-64","1992",1220890,
"Total 65 and over","1993",478276,
"Total population","1993",3465751,
"Females 65 and over","1993",338274,
"Females Total","1993",1809278,
"Males 65 and over","1993",140002,
"Males Total","1993",1656473,
"Average population","1993",3470568.5,
"Total 0-14","1993",545715,
"Total 15-64","1993",2441760,
"Females 0-14","1993",265510,
"Females 15-64","1993",1205494,
"Males 0-14","1993",280205,
"Males 15-64","1993",1236266,
"Total 65 and over","1994",476320,
"Total population","1994",3475386,
"Females 65 and over","1994",333800,
"Females Total","1994",1810408,
"Males 65 and over","1994",142520,
"Males Total","1994",1664978,
"Average population","1994",3473697.5,
"Total 0-14","1994",542142,
"Total 15-64","1994",2456924,
"Females 0-14","1994",263921,
"Females 15-64","1994",1212687,
"Males 0-14","1994",278221,
"Males 15-64","1994",1244237,
"Total 65 and over","1995",475189,
"Total population","1995",3472009,
"Females 65 and over","1995",329466,
"Females Total","1995",1803361,
"Males 65 and over","1995",145723,
"Males Total","1995",1668648,
"Average population","1995",3471713.5,
"Total 0-14","1995",532635,
"Total 15-64","1995",2464185,
"Females 0-14","1995",259225,
"Females 15-64","1995",1214670,
"Males 0-14","1995",273410,
"Males 15-64","1995",1249515,
"Total 65 and over","1996",474960,
"Total population","1996",3471418,
"Females 65 and over","1996",325577,
"Females Total","1996",1797140,
"Males 65 and over","1996",149383,
"Males Total","1996",1674278,
"Average population","1996",3465090.5,
"Total 0-14","1996",521581,
