"Variable","Time","Value","Flags"
"Males 0-14","1996",224680,
"Males 15-64","1996",957027,
"Total 65 and over","1997",427555,
"Total population","1997",2723620,
"Females 65 and over","1997",279968,
"Females Total","1997",1403068,
"Males 65 and over","1997",147587,
"Males Total","1997",1320552,
"Average population","1997",2712655,
"Total 0-14","1997",417119,
"Total 15-64","1997",1878946,
"Females 0-14","1997",202800,
"Females 15-64","1997",920300,
"Males 0-14","1997",214319,
"Males 15-64","1997",958646,
"Total 65 and over","1998",432092,
"Total population","1998",2701690,
"Females 65 and over","1998",280711,
"Females Total","1998",1390490,
"Males 65 and over","1998",151381,
"Males Total","1998",1311200,
"Average population","1998",2688090,
"Total 0-14","1998",396523,
"Total 15-64","1998",1873075,
"Females 0-14","1998",192516,
"Females 15-64","1998",917263,
"Males 0-14","1998",204007,
"Males 15-64","1998",955812,
"Total 65 and over","1999",436143,
"Total population","1999",2674490,
"Females 65 and over","1999",281352,
"Females Total","1999",1375982,
"Males 65 and over","1999",154791,
"Males Total","1999",1298508,
"Average population","1999",2661613.5,
"Total 0-14","1999",375518,
"Total 15-64","1999",1862829,
"Females 0-14","1999",182369,
"Females 15-64","1999",912261,
"Males 0-14","1999",193149,
"Males 15-64","1999",950568,
"Total 65 and over","2000",446719,
"Total population","2000",2648737,
"Females 65 and over","2000",285391,
"Females Total","2000",1361635,
"Males 65 and over","2000",161328,
"Males Total","2000",1287102,
"Average population","2000",2632100,
"Total 0-14","2000",356219,
"Total 15-64","2000",1845799,
"Females 0-14","2000",173011,
"Females 15-64","2000",903233,
"Males 0-14","2000",183208,
"Males 15-64","2000",942566,
"Total 65 and over","2001",458834,
"Total population","2001",2615375,
"Females 65 and over","2001",290445,
"Females Total","2001",1344116,
"Males 65 and over","2001",168389,
"Males Total","2001",1271259,
"Average population","2001",2598000,
"Total 0-14","2001",336304,
"Total 15-64","2001",1820237,
"Females 0-14","2001",163358,
"Females 15-64","2001",890313,
"Males 0-14","2001",172946,
"Males 15-64","2001",929924,
"Total 65 and over","2002",471413,
"Total population","2002",2580626,
"Females 65 and over","2002",295599,
"Females Total","2002",1324898,
"Males 65 and over","2002",175814,
"Males Total","2002",1255728,
"Average population","2002",2564800,
"Total 0-14","2002",315609,
"Total 15-64","2002",1793604,
"Females 0-14","2002",153193,
"Females 15-64","2002",876106,
"Males 0-14","2002",162416,
"Males 15-64","2002",917498,
"Total 65 and over","2003",483765,
"Total population","2003",2548911,
"Females 65 and over","2003",300444,
"Females Total","2003",1307079,
"Males 65 and over","2003",183321,
"Males Total","2003",1241832,
"Average population","2003",2535900,
"Total 0-14","2003",295291,
"Total 15-64","2003",1769855,
"Females 0-14","2003",143274,
"Females 15-64","2003",863361,
"Males 0-14","2003",152017,
"Males 15-64","2003",906494,
"Total 65 and over","2004",498181,
"Total population","2004",2522941,
"Females 65 and over","2004",306545,
"Females Total","2004",1292420,
"Males 65 and over","2004",191636,
"Males Total","2004",1230521,
"Average population","2004",2508700,
"Total 0-14","2004",276633,
"Total 15-64","2004",1748127,
"Females 0-14","2004",134117,
"Females 15-64","2004",851758,
"Males 0-14","2004",142516,
"Males 15-64","2004",896369,
"Total 65 and over","2005",516186,
"Total population","2005",2494437,
"Females 65 and over","2005",314513,
"Females Total","2005",1277547,
"Males 65 and over","2005",201673,
"Males Total","2005",1216890,
"Average population","2005",2482100,
"Total 0-14","2005",261008,
"Total 15-64","2005",1717243,
"Females 0-14","2005",126439,
"Females 15-64","2005",836595,
"Males 0-14","2005",134569,
"Males 15-64","2005",880648,
"Total 65 and over","2006",534422,
"Total population","2006",2469716,
"Females 65 and over","2006",322541,
"Females Total","2006",1263996,
"Males 65 and over","2006",211881,
"Males Total","2006",1205720,
"Average population","2006",2455800,
"Total 0-14","2006",247666,
"Total 15-64","2006",1687628,
"Females 0-14","2006",120258,
"Females 15-64","2006",821197,
"Males 0-14","2006",127408,
"Males 15-64","2006",866431,
"Total 65 and over","2007",550413,
"Total population","2007",2441787,
"Females 65 and over","2007",329609,
"Females Total","2007",1248314,
"Males 65 and over","2007",220804,
"Males Total","2007",1193473,
"Average population","2007",2427100,
"Total 0-14","2007",244181,
"Total 15-64","2007",1647193,
"Females 0-14","2007",118387,
"Females 15-64","2007",800318,
"Males 0-14","2007",125794,
"Males 15-64","2007",846875,
"Total 65 and over","2008",558125,
"Total population","2008",2412472,
"Females 65 and over","2008",332496,
"Females Total","2008",1232520,
"Males 65 and over","2008",225629,
"Males Total","2008",1179952,
"Average population","2008",2412472,
"Total 0-14","2008",244535,
"Total 15-64","2008",1609812,
"Females 0-14","2008",118542,
"Females 15-64","2008",781482,
"Males 0-14","2008",125993,
"Males 15-64","2008",828330,
"Total 65 and over","2009",565304,
"Total population","2009",2381872,
"Females 65 and over","2009",334920,
"Females Total","2009",1216189,
"Males 65 and over","2009",230384,
"Males Total","2009",1165683,
"Total 0-14","2009",246569,
"Total 15-64","2009",1569999,
"Females 0-14","2009",119399,
"Females 15-64","2009",761870,
"Males 0-14","2009",127170,
"Males 15-64","2009",808129,
"Total 65 and over","1990",376347,
"Total population","1990",2594608,
"Females 65 and over","1990",243141,
"Females Total","1990",1339596,
"Males 65 and over","1990",133206,
"Males Total","1990",1255012,
"Average population","1990",2610374,
"Total 0-14","1990",377921,
"Total 15-64","1990",1800292,
"Females 0-14","1990",183950,
"Females 15-64","1990",882794,
"Males 0-14","1990",193971,
"Males 15-64","1990",917498,
"Total 65 and over","1991",419451,
"Total population","1991",2626140,
"Females 65 and over","1991",274593,
"Females Total","1991",1351765,
"Males 65 and over","1991",144858,
"Males Total","1991",1274375,
"Average population","1991",2637340,
"Total 0-14","1991",389908,
"Total 15-64","1991",1816781,
"Females 0-14","1991",189762,
"Females 15-64","1991",887410,
"Males 0-14","1991",200146,
"Males 15-64","1991",929371,
"Total 65 and over","1992",421520,
"Total population","1992",2648540,
"Females 65 and over","1992",275597,
"Females Total","1992",1360929,
"Males 65 and over","1992",145923,
"Males Total","1992",1287611,
"Average population","1992",2664056,
"Total 0-14","1992",398063,
"Total 15-64","1992",1828957,
"Females 0-14","1992",193547,
"Females 15-64","1992",891785,
"Males 0-14","1992",204516,
"Males 15-64","1992",937172,
"Total 65 and over","1993",424816,
"Total population","1993",2679572,
"Females 65 and over","1993",276643,
"Females Total","1993",1373460,
"Males 65 and over","1993",148173,
"Males Total","1993",1306112,
"Average population","1993",2687230,
"Total 0-14","1993",408401,
"Total 15-64","1993",1846355,
"Females 0-14","1993",198666,
"Females 15-64","1993",898151,
"Males 0-14","1993",209735,
"Males 15-64","1993",948204,
"Total 65 and over","1994",429057,
"Total population","1994",2694888,
"Females 65 and over","1994",277306,
"Females Total","1994",1380953,
"Males 65 and over","1994",151751,
"Males Total","1994",1313935,
"Average population","1994",2701640,
"Total 0-14","1994",416210,
"Total 15-64","1994",1849621,
"Females 0-14","1994",202555,
"Females 15-64","1994",901092,
"Males 0-14","1994",213655,
"Males 15-64","1994",948529,
"Total 65 and over","1995",433203,
"Total population","1995",2708392,
"Females 65 and over","1995",278028,
"Females Total","1995",1387608,
"Males 65 and over","1995",155175,
"Males Total","1995",1320784,
"Average population","1995",2716926.5,
"Total 0-14","1995",422677,
"Total 15-64","1995",1852512,
"Females 0-14","1995",205698,
"Females 15-64","1995",903882,
"Males 0-14","1995",216979,
"Males 15-64","1995",948630,
"Total 65 and over","1996",436586,
"Total population","1996",2725461,
"Females 65 and over","1996",278369,
"Females Total","1996",1395204,
"Males 65 and over","1996",158217,
"Males Total","1996",1330257,
"Average population","1996",2733877,
"Total 0-14","1996",427516,
"Total 15-64","1996",1861359,
"Females 0-14","1996",208026,
"Females 15-64","1996",908809,
"Males 0-14","1996",219490,
"Males 15-64","1996",952550,
"Total 65 and over","1997",438651,
"Total population","1997",2742293,
"Females 65 and over","1997",277878,
"Females Total","1997",1402967,
"Males 65 and over","1997",160773,
"Males Total","1997",1339326,
"Average population","1997",2749383,
"Total 0-14","1997",433577,
"Total 15-64","1997",1870065,
"Females 0-14","1997",210844,
"Females 15-64","1997",914245,
"Males 0-14","1997",222733,
"Males 15-64","1997",955820,
"Total 65 and over","1998",440896,
"Total population","1998",2756473,
"Females 65 and over","1998",277440,
"Females Total","1998",1409744,
"Males 65 and over","1998",163456,
"Males Total","1998",1346729,
"Average population","1998",2761265,
"Total 0-14","1998",438580,
"Total 15-64","1998",1876997,
"Females 0-14","1998",213038,
"Females 15-64","1998",919266,
"Males 0-14","1998",225542,
"Males 15-64","1998",957731,
"Total 65 and over","1999",443678,
"Total population","1999",2766057,
"Females 65 and over","1999",277174,
"Females Total","1999",1414538,
"Males 65 and over","1999",166504,
"Males Total","1999",1351519,
"Average population","1999",2771666,
"Total 0-14","1999",442150,
"Total 15-64","1999",1880229,
"Females 0-14","1999",214941,
"Females 15-64","1999",922423,
"Males 0-14","1999",227209,
"Males 15-64","1999",957806,
"Total 65 and over","2000",454771,
"Total population","2000",2777275,
"Females 65 and over","2000",280880,
"Females Total","2000",1419877,
"Males 65 and over","2000",173891,
"Males Total","2000",1357398,
"Average population","2000",2782300,
"Total 0-14","2000",446306,
"Total 15-64","2000",1876198,
"Females 0-14","2000",217009,
"Females 15-64","2000",921988,
"Males 0-14","2000",229297,
"Males 15-64","2000",954210,
"Total 65 and over","2001",468367,
"Total population","2001",2789761,
"Females 65 and over","2001",286187,
"Females Total","2001",1426144,
"Males 65 and over","2001",182180,
"Males Total","2001",1363617,
"Average population","2001",2795900,
"Total 0-14","2001",449537,
"Total 15-64","2001",1871857,
"Females 0-14","2001",218459,
"Females 15-64","2001",921498,
"Males 0-14","2001",231078,
"Males 15-64","2001",950359,
"Total 65 and over","2002",483522,
"Total population","2002",2804249,
"Females 65 and over","2002",292134,
"Females Total","2002",1433623,
"Males 65 and over","2002",191388,
"Males Total","2002",1370626,
"Average population","2002",2810100,
"Total 0-14","2002",449907,
"Total 15-64","2002",1870820,
"Females 0-14","2002",218747,
"Females 15-64","2002",922742,
"Males 0-14","2002",231160,
"Males 15-64","2002",948078,
"Total 65 and over","2003",499892,
"Total population","2003",2816507,
"Females 65 and over","2003",298467,
"Females Total","2003",1440137,
"Males 65 and over","2003",201425,
"Males Total","2003",1376370,
"Average population","2003",2819800,
"Total 0-14","2003",447780,
"Total 15-64","2003",1868835,
"Females 0-14","2003",218011,
"Females 15-64","2003",923659,
"Males 0-14","2003",229769,
"Males 15-64","2003",945176,
"Total 65 and over","2004",518277,
"Total population","2004",2823171,
"Females 65 and over","2004",305861,
"Females Total","2004",1443464,
"Males 65 and over","2004",212416,
"Males Total","2004",1379707,
"Average population","2004",2826000,
"Total 0-14","2004",442452,
"Total 15-64","2004",1862442,
"Females 0-14","2004",215654,
"Females 15-64","2004",921949,
"Males 0-14","2004",226798,
"Males 15-64","2004",940493,
"Total 65 and over","2005",539411,
"Total population","2005",2828760,
"Females 65 and over","2005",315033,
"Females Total","2005",1446229,
"Males 65 and over","2005",224378,
"Males Total","2005",1382531,
"Average population","2005",2830900,
"Total 0-14","2005",436673,
"Total 15-64","2005",1852676,
"Females 0-14","2005",212815,
"Females 15-64","2005",918381,
"Males 0-14","2005",223858,
"Males 15-64","2005",934295,
"Total 65 and over","2006",560184,
"Total population","2006",2832950,
"Females 65 and over","2006",323959,
"Females Total","2006",1447665,
"Males 65 and over","2006",236225,
"Males Total","2006",1385285,
"Average population","2006",2833600,
"Total 0-14","2006",428188,
"Total 15-64","2006",1844578,
"Females 0-14","2006",208716,
"Females 15-64","2006",914990,
"Males 0-14","2006",219472,
"Males 15-64","2006",929588,
"Total 65 and over","2007",579518,
"Total population","2007",2834254,
"Females 65 and over","2007",332254,
"Females Total","2007",1447484,
"Males 65 and over","2007",247264,
"Males Total","2007",1386770,
"Average population","2007",2835800,
"Total 0-14","2007",420202,
"Total 15-64","2007",1834534,
"Females 0-14","2007",204832,
"Females 15-64","2007",910398,
"Males 0-14","2007",215370,
"Males 15-64","2007",924136,
"Total 65 and over","2008",591285,
"Total population","2008",2837373,
"Females 65 and over","2008",336980,
"Females Total","2008",1448435,
"Males 65 and over","2008",254305,
"Males Total","2008",1388938,
"Average population","2008",2837373,
"Total 0-14","2008",413054,
"Total 15-64","2008",1833034,
"Females 0-14","2008",201174,
"Females 15-64","2008",910281,
"Males 0-14","2008",211880,
"Males 15-64","2008",922753,
"Total 65 and over","2009",602669,
"Total population","2009",2834260,
"Females 65 and over","2009",341502,
"Females Total","2009",1446462,
"Males 65 and over","2009",261167,
"Males Total","2009",1387798,
"Total 0-14","2009",405894,
"Total 15-64","2009",1825697,
"Females 0-14","2009",197666,
"Females 15-64","2009",907294,
"Males 0-14","2009",208228,
"Males 15-64","2009",918403,
"Total 65 and over","1990",330200,
"Total population","1990",2683877,
"Females 65 and over","1990",220155,
"Females Total","1990",1397157,
"Males 65 and over","1990",110045,
"Males Total","1990",1286720,
"Average population","1990",2647601.5,
"Total 0-14","1990",520805,
"Total 15-64","1990",1804902,
"Females 0-14","1990",253783,
"Females 15-64","1990",903040,
"Males 0-14","1990",267022,
"Males 15-64","1990",901862,
"Total 65 and over","1991",357721,
"Total population","1991",2611326,
"Females 65 and over","1991",240137,
"Females Total","1991",1364943,
"Males 65 and over","1991",117584,
"Males Total","1991",1246383,
"Average population","1991",2591686,
"Total 0-14","1991",510983,
"Total 15-64","1991",1742622,
"Females 0-14","1991",249089,
"Females 15-64","1991",875717,
"Males 0-14","1991",261894,
"Males 15-64","1991",866905,
"Total 65 and over","1992",358729,
"Total population","1992",2572046,
"Females 65 and over","1992",240826,
"Females Total","1992",1340762,
"Males 65 and over","1992",117903,
"Males Total","1992",1231284,
"Average population","1992",2558916.5,
"Total 0-14","1992",493894,
"Total 15-64","1992",1719423,
"Females 0-14","1992",240738,
"Females 15-64","1992",859198,
"Males 0-14","1992",253156,
"Males 15-64","1992",860225,
"Total 65 and over","1993",359854,
"Total population","1993",2545787,
"Females 65 and over","1993",240546,
"Females Total","1993",1321417,
"Males 65 and over","1993",119308,
"Males Total","1993",1224370,
"Average population","1993",2539275,
"Total 0-14","1993",472788,
"Total 15-64","1993",1713145,
"Females 0-14","1993",230484,
"Females 15-64","1993",850387,
"Males 0-14","1993",242304,
"Males 15-64","1993",862758,
"Total 65 and over","1994",365150,
"Total population","1994",2532763,
"Females 65 and over","1994",242521,
"Females Total","1994",1310384,
"Males 65 and over","1994",122629,
"Males Total","1994",1222379,
"Average population","1994",2525269.5,
"Total 0-14","1994",452254,
"Total 15-64","1994",1715359,
"Females 0-14","1994",220456,
"Females 15-64","1994",847407,
"Males 0-14","1994",231798,
"Males 15-64","1994",867952,
"Total 65 and over","1995",370881,
"Total population","1995",2517776,
"Females 65 and over","1995",244589,
"Females Total","1995",1299842,
"Males 65 and over","1995",126292,
"Males Total","1995",1217934,
"Average population","1995",2510780.5,
"Total 0-14","1995",429782,
"Total 15-64","1995",1717113,
"Females 0-14","1995",209660,
"Females 15-64","1995",845593,
"Males 0-14","1995",220122,
"Males 15-64","1995",871520,
"Total 65 and over","1996",376912,
"Total population","1996",2503785,
"Females 65 and over","1996",246852,
"Females Total","1996",1289572,
"Males 65 and over","1996",130060,
"Males Total","1996",1214213,
"Average population","1996",2497452,
"Total 0-14","1996",406669,
"Total 15-64","1996",1720204,
"Females 0-14","1996",198229,
"Females 15-64","1996",844491,
"Males 0-14","1996",208440,
"Males 15-64","1996",875713,
"Total 65 and over","1997",381305,
"Total population","1997",2491119,
"Females 65 and over","1997",248065,
"Females Total","1997",1280397,
"Males 65 and over","1997",133240,
"Males Total","1997",1210722,
"Average population","1997",2484633.5,
"Total 0-14","1997",386501,
"Total 15-64","1997",1723313,
"Females 0-14","1997",188278,
"Females 15-64","1997",844054,
"Males 0-14","1997",198223,
"Males 15-64","1997",879259,
"Total 65 and over","1998",385265,
"Total population","1998",2478148,
"Females 65 and over","1998",248785,
"Females Total","1998",1271481,
"Males 65 and over","1998",136480,
"Males Total","1998",1206667,
"Average population","1998",2470492,
"Total 0-14","1998",366337,
"Total 15-64","1998",1726546,
"Females 0-14","1998",178659,
"Females 15-64","1998",844037,
"Males 0-14","1998",187678,
"Males 15-64","1998",882509,
"Total 65 and over","1999",388848,
"Total population","1999",2462836,
"Females 65 and over","1999",249322,
"Females Total","1999",1261507,
"Males 65 and over","1999",139526,
"Males Total","1999",1201329,
"Average population","1999",2455959,
"Total 0-14","1999",347504,
"Total 15-64","1999",1726484,
"Females 0-14","1999",169584,
"Females 15-64","1999",842601,
"Males 0-14","1999",177920,
"Males 15-64","1999",883883,
"Total 65 and over","2000",398386,
"Total population","2000",2449082,
"Females 65 and over","2000",253053,
"Females Total","2000",1252123,
"Males 65 and over","2000",145333,
"Males Total","2000",1196959,
"Average population","2000",2440300,
"Total 0-14","2000",329910,
"Total 15-64","2000",1720786,
"Females 0-14","2000",160832,
"Females 15-64","2000",838238,
"Males 0-14","2000",169078,
"Males 15-64","2000",882548,
"Total 65 and over","2001",409996,
"Total population","2001",2431255,
"Females 65 and over","2001",258007,
"Females Total","2001",1241304,
"Males 65 and over","2001",151989,
"Males Total","2001",1189951,
"Average population","2001",2421000,
"Total 0-14","2001",312405,
"Total 15-64","2001",1708854,
"Females 0-14","2001",152416,
"Females 15-64","2001",830881,
"Males 0-14","2001",159989,
"Males 15-64","2001",877973,
"Total 65 and over","2002",422191,
"Total population","2002",2411387,
"Females 65 and over","2002",263160,
"Females Total","2002",1229210,
"Males 65 and over","2002",159031,
"Males Total","2002",1182177,
"Average population","2002",2401800,
"Total 0-14","2002",295232,
"Total 15-64","2002",1693964,
"Females 0-14","2002",144161,
"Females 15-64","2002",821889,
"Males 0-14","2002",151071,
"Males 15-64","2002",872075,
"Total 65 and over","2003",434035,
"Total population","2003",2392040,
"Females 65 and over","2003",268244,
"Females Total","2003",1217829,
"Males 65 and over","2003",165791,
"Males Total","2003",1174211,
"Average population","2003",2382600,
"Total 0-14","2003",277925,
"Total 15-64","2003",1680080,
"Females 0-14","2003",135849,
"Females 15-64","2003",813736,
"Males 0-14","2003",142076,
"Males 15-64","2003",866344,
"Total 65 and over","2004",447749,
"Total population","2004",2373157,
"Females 65 and over","2004",273992,
"Females Total","2004",1206894,
"Males 65 and over","2004",173757,
"Males Total","2004",1166263,
"Average population","2004",2364200,
"Total 0-14","2004",262088,
"Total 15-64","2004",1663320,
"Females 0-14","2004",128080,
"Females 15-64","2004",804822,
"Males 0-14","2004",134008,
"Males 15-64","2004",858498,
"Total 65 and over","2005",466157,
"Total population","2005",2355280,
"Females 65 and over","2005",282434,
"Females Total","2005",1196824,
"Males 65 and over","2005",183723,
"Males Total","2005",1158456,
"Average population","2005",2344900,
"Total 0-14","2005",249895,
"Total 15-64","2005",1639228,
"Females 0-14","2005",122218,
"Females 15-64","2005",792172,
"Males 0-14","2005",127677,
"Males 15-64","2005",847056,
"Total 65 and over","2006",484299,
"Total population","2006",2334575,
"Females 65 and over","2006",290746,
"Females Total","2006",1185060,
"Males 65 and over","2006",193553,
"Males Total","2006",1149515,
"Average population","2006",2322900,
"Total 0-14","2006",238614,
"Total 15-64","2006",1611662,
"Females 0-14","2006",116593,
"Females 15-64","2006",777721,
"Males 0-14","2006",122021,
"Males 15-64","2006",833941,
"Total 65 and over","2007",499131,
"Total population","2007",2311140,
"Females 65 and over","2007",297444,
"Females Total","2007",1172089,
"Males 65 and over","2007",201687,
"Males Total","2007",1139051,
"Average population","2007",2181000,
"Total 0-14","2007",236739,
"Total 15-64","2007",1575270,
"Females 0-14","2007",115551,
"Females 15-64","2007",759094,
"Males 0-14","2007",121188,
"Males 15-64","2007",816176,
"Total 65 and over","2008",505268,
"Total population","2008",2289219,
"Females 65 and over","2008",299631,
"Females Total","2008",1160278,
"Males 65 and over","2008",205637,
"Males Total","2008",1128941,
"Average population","2008",2289219,
"Total 0-14","2008",238342,
"Total 15-64","2008",1545609,
"Females 0-14","2008",116026,
"Females 15-64","2008",744621,
"Males 0-14","2008",122316,
"Males 15-64","2008",800988,
"Total 65 and over","2009",512431,
"Total population","2009",2267763,
"Females 65 and over","2009",302051,
"Females Total","2009",1148936,
"Males 65 and over","2009",210380,
"Males Total","2009",1118827,
"Total 0-14","2009",241463,
"Total 15-64","2009",1513869,
"Females 0-14","2009",117652,
"Females 15-64","2009",729233,
"Males 0-14","2009",123811,
"Males 15-64","2009",784636,
